,All,K04F10.4a.1.e1,K04F10.4a.1.e2,K04F10.4a.1.e3,K04F10.4a.1.e4,K04F10.4a.1.e5,K04F10.4a.1.e6,K04F10.4a.1.e7,K04F10.4a.1.e8,K04F10.4a.1.e9,K04F10.4a.1.e10,K04F10.4a.1.e11,K04F10.4a.1.e12,K04F10.4a.1.e13,K04F10.4a.2.e1,K04F10.4b.1.e1,K04F10.4b.1.e14,K04F10.4b.2.e1,K04F10.4c.1.e1,K04F10.4c.1.e13,K04F10.4c.1.e14,K04F10.4c.1.e15,K04F10.4c.1.e16,K04F10.4d.1.e1,K04F10.4d.1.e16,K04F10.4d.1.e17,K04F10.4d.1.e18,K04F10.4d.2.e1,K04F10.4e.1.e1,K04F10.4e.1.e12,K04F10.4f.1.e1,K04F10.4f.1.e12,K04F10.4g.1.e13,K04F10.4h.1.e1,K04F10.4h.1.e13,K04F10.4i.1.e12,K04F10.4j.1.e13,All_rpm,K04F10.4a.1.e1_rpm,K04F10.4a.1.e2_rpm,K04F10.4a.1.e3_rpm,K04F10.4a.1.e4_rpm,K04F10.4a.1.e5_rpm,K04F10.4a.1.e6_rpm,K04F10.4a.1.e7_rpm,K04F10.4a.1.e8_rpm,K04F10.4a.1.e9_rpm,K04F10.4a.1.e10_rpm,K04F10.4a.1.e11_rpm,K04F10.4a.1.e12_rpm,K04F10.4a.1.e13_rpm,K04F10.4a.2.e1_rpm,K04F10.4b.1.e1_rpm,K04F10.4b.1.e14_rpm,K04F10.4b.2.e1_rpm,K04F10.4c.1.e1_rpm,K04F10.4c.1.e13_rpm,K04F10.4c.1.e14_rpm,K04F10.4c.1.e15_rpm,K04F10.4c.1.e16_rpm,K04F10.4d.1.e1_rpm,K04F10.4d.1.e16_rpm,K04F10.4d.1.e17_rpm,K04F10.4d.1.e18_rpm,K04F10.4d.2.e1_rpm,K04F10.4e.1.e1_rpm,K04F10.4e.1.e12_rpm,K04F10.4f.1.e1_rpm,K04F10.4f.1.e12_rpm,K04F10.4g.1.e13_rpm,K04F10.4h.1.e1_rpm,K04F10.4h.1.e13_rpm,K04F10.4i.1.e12_rpm,K04F10.4j.1.e13_rpm
Germline,2196526,0,0,1,0,0,0,0,0,1,0,11,0,368,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,59,0,0,0,0,0,1e+06,0,0,0.455264358354966,0,0,0,0,0,0.455264358354966,0,5.00790794190463,0,167.537283874627,0,0,0,0,0,0,0,0,0,0,0,0.455264358354966,39.607999176882,0,0,0,0,26.860597142943,0,0,0,0,0
M4_parent,93830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3151444101034,0,0,0,0,10.6575722050517,0,0,0,0,0
ASK_parent,133572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48659898781182,0,0,0,0,0,0,0,0,0,0
Excretory_cell,542070,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,34,0,0,0,0,31,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,5.5343405833195,0,0,3.68956038887967,0,0,0,0,0,0,0,0,1.84478019443983,62.7225266109543,0,0,0,0,57.1881860276348,0,0,0,0,0
Pharyngeal_intestinal_valve,406644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2957673050629,0,0,0,0,34.4281484541761,0,0,2.45915346101258,0,0
ASE,258367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74092666633123,0,0,0,0,11.6113899994968,0,0,0,0,0
g2_parent,94673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5626736239477,0,0,0,0,10.5626736239477,0,0,0,0,0
mc3,372117,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,2.68732683537705,0,5.37465367075409,0,0,0,0,0,0,0,0,0,0,0,0,16.1239610122623,0,0,0,0,26.8732683537705,0,0,2.68732683537705,0,0
Neuroblast_URX_CEPDx,121242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_middle_and_posterior,2316040,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,0,0,96,0,0,0,0,13,1,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,2.59062883197181,0,0,1.29531441598591,0,0,0,0,0,0.431771471995302,0,0,0,41.450061311549,0,0,0,0,5.61302913593893,0.431771471995302,0,0,0,0
Neuroblast_ASH_RIB,113648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79909897226524,0,0,0,0,0
Pharyngeal_neuron,522585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82712860108882,0,0,0,0,0,0,0,0,0,32.530593109255,0,0,0,0,15.3085144043553,0,0,0,0,0
PVQ_parent,144873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7077923422584,0,0,0,0,0,0,0,0,0,0
Hypodermis,3391500,0,0,0,0,1,2,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,4,0,1,6,438,0,0,0,0,21,1,0,7,0,0,1e+06,0,0,0,0,0.294854784018871,0.589709568037741,0,0,0,0,0,0,2.65369305616984,0,0,1.47427392009435,0,0,0,0,0.294854784018871,1.17941913607548,0,0.294854784018871,1.76912870411322,129.146395400265,0,0,0,0,6.19195046439628,0.294854784018871,0,2.0639834881321,0,0
Z1_Z4,267187,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,3.74269706235708,0,3.74269706235708,0,0,0,0,0,0,0,0,0,0,0,0,33.6842735612137,0,0,0,0,3.74269706235708,0,0,3.74269706235708,0,0
Neuroblast_AFD_RMD,127366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8513889106983,0,0,0,0,0,0,0,0,0,0,0,0
ABarpaaa_lineage,271404,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,3.68454407451622,0,0,3.68454407451622,0,0,0,0,0,3.68454407451622,0,0,0,22.1072644470973,0,0,0,0,3.68454407451622,0,0,0,0,0
Body_wall_muscle,1778257,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,2,0,0,0,0,1,0,0,0,0,38,0,0,0,0,4,0,0,1,0,0,1e+06,0,0,0,0,0,0.562348411956202,0,0,0,0,0.562348411956202,0,2.24939364782481,0,0,1.1246968239124,0,0,0,0,0.562348411956202,0,0,0,0,21.3692396543357,0,0,0,0,2.24939364782481,0,0,0.562348411956202,0,0
Neuroblast_ALM_BDU,93619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVH_parent,99697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1215683521069,0,0,0,0,0,0,0,0,0,0
Neuroblast_ADF_AWB,122640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15394651011089,0,0,0,0,0,0,0,0,0,0
Parent_of_exc_gland_AVK,101450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.714144898965,0,0,0,0,19.714144898965,9.8570724494825,0,0,0,0
OLL_parent,157066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36675028332039,6.36675028332039,0,0,0,0,0,0,0,6.36675028332039,0,0
Neuroblast_ASE_ASJ_AUA,168959,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,5.91859563562758,0,0,0,0,0,0,0,0,0,0,0,0,23.6743825425103,0,0,0,0,0,0,0,0,0,0
Neuroblast_AVG_RIR,48409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g1A_g1P,136310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3535323894065,0,0,0,0,0
PLM_ALN_great_grandparent,154015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4786222121222,0,0,0,0,0,0,0,0,0,0
mc2,219646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,51,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10556076595977,0,0,0,0,0,0,0,0,0,22.7639019148994,0,0,0,0,232.191799531974,0,0,0,0,0
ASE_parent,128108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6118275205296,0,0,0,0,7.80591376026478,0,0,0,0,0
Neuroblast_ASJ_AUA,106634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parent_of_hyp1V_and_ant_arc_V,48372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3462333581411,0,0,0,0,0,0,0,0,0,0
g2,66857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.8718907519033,0,0,0,0,29.9145938346022,0,0,0,0,0
mu_int_mu_anal,289742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8053854808761,0,0,0,0,3.45134637021902,0,0,3.45134637021902,0,0
BWM_far_posterior,1050198,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,1,1e+06,0,0,0,0,0,0.952201394403722,0,0,0,0,0,0,1.90440278880744,0,0,0.952201394403722,0,0,0,0,0,0,0,0,0,21.9006320712856,0,0,0,0,1.90440278880744,0,0,0,0,0.952201394403722
